row_id,Moisture_T30,Moisture_T15
72,-7.078607664471903,-7.610954980691751
73,-4.531413546631947,-4.869372467478529
74,-5.955811949684666,-5.368413561073531
75,-10.507201559813101,-9.901162836464344
76,-6.691401492871979,-5.719071665453116
77,-5.039583233291852,-5.371388361629489
78,-7.7418012806712895,-8.438895850643803
79,-5.3131694375929746,-5.252933530961517
80,-10.351642652221436,-9.247944793729966
81,-10.307004187504003,-10.564857120909677
82,-8.580858431295026,-8.473635590508165
83,-5.496756726901088,-7.345812817205191
84,-6.191939522018334,-5.440536829933659
85,-6.359381166383515,-5.839870614977146
86,-14.483929802303631,-14.123979442732155
87,-5.979129723309235,-6.515930060159004
88,-4.142524369443109,-5.813518480615014
89,-4.577071620993998,-5.579902775902762
90,-4.998238910029652,-6.386743075998876
91,-5.597244404349297,-6.077127686408836
92,-6.563379320762154,-5.84111935496388
93,-4.1535748054882085,-5.816380859946026
94,-5.832104410655271,-7.067688157268115
95,-5.330552534965403,-5.6303861148983145
96,-6.038438386331389,-5.74578033305823
97,-5.145174609148844,-6.557728870035631
98,-4.0581170724253095,-3.3042559082673417
99,-6.491095461443445,-8.188507047666818
100,-6.527658613549015,-6.648389864313289
101,-5.647936013994947,-5.516765060740746
102,-6.139154752188459,-5.1399810384072975
103,-5.210577219582415,-4.534284897538181
104,-8.5673823015538,-9.797104055446603
105,-6.158589088666016,-5.913580984559719
106,-7.337970252749759,-6.650895253297302
107,-4.954431061623863,-5.686590380674897
108,-4.428154046523607,-5.847043462088449
109,-6.426502837040388,-6.621798608043971
110,-4.611764005697564,-5.5283356656502125
111,-3.710145134576398,-5.537649835225594
112,-4.72703975583444,-5.300086478123058
113,-4.237759073956699,-5.105866197126232
114,-5.128219426930702,-4.440349443172451
115,-4.793811060263508,-5.817639305095982
116,-8.791782982559093,-8.000632698365518
117,-4.721303455460415,-3.838864614471758
118,-6.3143464946959895,-7.31394992455744
119,-4.096312339685808,-4.3598383701300465
120,-6.807717701181143,-7.255267846472901
121,-6.494020380390847,-6.579321041884489
122,-6.1403332050944,-4.6215324400633575
123,-3.2777377984679585,-4.205364941071478
124,-2.9958835858730044,-3.0449537116756886
125,-8.546504920923798,-9.21543315297576
126,-8.981430354187415,-9.07765154285865
127,-5.677793469569185,-5.233198647826069
128,-6.704617621845357,-6.713294856068595
129,-4.54137536450224,-6.094107945817352
130,-5.735730112592153,-8.248701430080821
131,-6.350937091813162,-6.546441591173854
132,-7.622217302208863,-6.8029222606867386
133,-6.092099900100543,-4.526838545227265
134,-11.201546409467271,-11.36753498120314
135,-9.842171668614567,-7.193105297090218
136,-6.905182627434256,-7.711054466249596
137,-9.205737080521075,-7.920121425089592
138,-6.307298361667904,-5.988174124690678
139,-6.1740777552822,-6.0321070384982
140,-6.598974280740311,-6.269164626793001
141,-7.15074930203931,-6.945724494686143
142,-5.8054142462928295,-5.165554427513367
143,-6.551649027543359,-6.899785756928384
144,-7.69271538166392,-8.325411345852768
145,-7.1065637255667315,-4.750836294752441
146,-5.303451789385865,-6.196000063801243
147,-9.219641231424959,-11.124481733240618
148,-9.87137826394785,-9.584031879471619
149,-5.631269113397567,-6.385046333567987
150,-5.45600902312408,-6.810545674196898
151,-5.29359039845727,-4.8722913961319545
152,-4.927146722311825,-5.988166031485466
153,-9.033662412332271,-9.084524217877572
154,-3.9949556877184964,-3.7323176122563266
155,-7.268112092537289,-6.50469959132155
156,-5.528550232061459,-5.390118784959257
157,-6.261410233665783,-5.368471253983174
158,-6.105711500777696,-6.438822513821824
159,-4.883750088929499,-5.632536936265925
160,-6.75894926091101,-6.739605438413482
161,-9.012571664706492,-10.330318992871998
162,-0.4633552539959993,-5.647547343815159
163,-7.005902174594331,-5.683508042390335
164,-4.10805111818517,-5.894774270634588
165,-5.558016580537306,-6.5549171012031335
166,-4.923122389043556,-6.712791886926695
167,-5.412950345441111,-5.397396767638412
168,-5.754358298907979,-6.180247878622972
169,-5.658856005986655,-7.185638669120993
170,-6.720844506806355,-5.78761455365305
171,-10.116069842133493,-8.677542796361372
172,-6.011322715720473,-5.998780591338298
173,-9.951751750717953,-10.202400261912654
174,-3.49009916762137,-4.277958073486436
175,-5.806877609056825,-4.730120222612483
176,-5.819980182730706,-6.598685546592952
177,-9.065778694257745,-8.804540274950638
178,-7.789609605789444,-6.829914029030078
179,-6.171496729064787,-5.499630664052038
180,-2.052638222142754,-4.673255345232244
181,-4.494583372140196,-5.260981201325764
182,-4.202269129789297,-4.872985822736032
183,-4.853107311467451,-5.7339110650372564
184,-5.646797900364803,-6.88619619371295
185,-5.3530478564846575,-5.842749074875574
186,-5.13923752994433,-4.264994673984555
187,-4.89878828534599,-3.6796712592561907
188,-6.368278059878158,-6.718020813970185
189,-5.442867716740169,-7.29465740286458
190,-5.884893224147564,-4.309701095980289
191,-3.1877992885754676,-5.806287273275311
192,-4.27893846016941,-3.1075416370544335
193,-6.155299813841898,-4.944485149051843
194,-4.9882792731704075,-6.48043849215665
195,-6.384066073070983,-5.390567758731175
196,-4.709513675844221,-5.858400240591042
197,-10.116069842133493,-8.677542796361372
198,-5.884893224147564,-4.309701095980289
199,-3.9606346272186412,-5.886177431821416
200,-4.167233039661719,-3.898329304829831
201,-6.090554081376787,-5.795520375004559
202,-4.794027541552612,-5.909883616398352
203,-8.40893600887036,-6.988046737703904
204,-6.127250894770732,-6.925759418633641
205,-5.273580448301759,-4.279254571018768
206,-8.603323903173372,-6.603473840218848
207,-10.58838798015149,-10.920516978906853
208,-4.796513257416013,-7.726596547575436
209,-6.862356743570256,-6.321717000705039
210,-5.162383176421571,-5.231334079455361
211,-7.868522465312353,-6.598952048584376
212,-5.070596296069544,-4.706470690044181
213,-7.947716330306778,-8.996059026720086
214,-9.49452400826398,-7.708023046440012
215,-5.276247501497993,-5.498524271718431
216,-6.684679923711693,-5.1949198182696215
217,-9.392984199177095,-10.717865146730556
218,-6.520907348146693,-6.6463749655278175
219,-5.402867990466673,-5.409932870770217
220,-7.306099959572538,-5.925920231522362
221,-5.949232096596439,-5.563886856067188
222,-5.948071082082801,-5.9610962601698
223,-5.33159937156662,-4.961594750029578
224,-5.751048151869152,-5.936105300840739
225,-5.191446552146445,-5.039132224960061
226,-4.6713781527536895,-4.665521211280152
227,-6.606006112723931,-5.969827456085593
228,-9.442955079510657,-8.070449105910473
229,-5.953856307629479,-5.713076734986309
230,-10.38978324025739,-9.600619065432612
231,-7.6604533783963955,-6.619236830901987
232,-9.812546033037847,-9.306669635092096
233,-4.608633448581818,-5.310982927404798
234,-3.341400082854836,-2.837847528412217
235,-6.1539193707274045,-6.994445457642781
236,-7.3682571641168115,-8.356137051264064
237,-8.172789410607587,-7.665035948182915
238,-7.560874767528619,-6.425181731790475
239,-4.702661593830178,-4.930682904081003
240,-5.00834651981436,-5.4669643682371385
241,0.5473050802507622,-3.344585414040104
242,-6.164785448215455,-6.777929963818074
243,-10.30321048893912,-10.189181190580204
244,-6.112428601653166,-7.045342670199507
245,-4.4806969983695915,-5.858291134905894
246,-5.87469416202496,-5.038029643847814
247,-4.875974860072024,-4.414969731045655
