row_id,X,Y,Presence,Week,WeekStart,ObsDate,Source,Precip_T45,Precip,Temp,SoilTemp_T30,SoilTemp_T15,Moisture_T30,Moisture_T15,RVI_T45,RVI_T30,RVI_T0,RVI_Phenology_Delta
1786,37.02539102285838,0.6730326387956047,0,9,2020-04-14,,synthetic_background,0.0201573341918219,0.0133459499952195,295.5046589745416,297.15931811862527,298.5328381856283,-4.77044275588446,-4.198826519680154,1.0056955061587642,1.0001329441407805,1.184891033594211,-0.005562562017983774
1787,37.54264280475002,4.169654651879423,0,9,2020-04-14,,synthetic_background,0.0118682652545203,0.0005209675905106,302.6546589745416,306.7248129102919,306.3751396179199,-5.146017649461296,-4.967891490876769,0.8717345806014853,0.9366789332388792,1.0007741749530703,0.06494435263739384
1788,37.69613805898664,2.917652756579312,0,9,2020-04-14,,synthetic_background,0.008530062420391,0.001393862712085,304.83451466030544,309.1685737609864,310.52752134535046,-10.742077425340996,-10.751659637723357,0.4538460122390438,0.3109607225015266,0.3742363200497332,-0.14288528973751718
1789,36.29321042997774,5.940997802420436,0,9,2020-04-14,,synthetic_background,0.0545719384980429,0.0067815861579774,299.4623412662082,300.0534478929308,300.54178458319774,-8.385898430566087,-8.340529854773866,0.4497541278307201,0.5065931615538449,0.4242899801106038,0.05683903372312482
1790,38.33867726693893,3.134479369501046,0,9,2020-04-14,,synthetic_background,0.008536216599964,0.0024816623803971,302.93827442593044,306.32036955091684,307.12912182278103,-9.372914124792295,-9.765649358886858,0.4743936513446882,0.4218394780152906,0.581348891647408,-0.0525541733293976
1791,37.37177330411249,2.900020960138853,0,9,2020-04-14,,synthetic_background,0.0076561838221778,0.0006341419097779,305.46669239468054,309.0062093946668,310.485078854031,-5.453537185114786,-6.069287860237196,0.8336548911160739,0.8874459783405204,0.7806167237028022,0.05379108722444648
1792,38.347388203235816,3.6906652852564674,0,9,2020-04-14,,synthetic_background,0.0097168057990302,0.0021753690120576,301.2653035057916,303.9237007141113,304.0772989061144,-5.907738381499369,-5.125554520888983,1.152130592863904,0.8167616235976536,0.8660458348520407,-0.3353689692662505
1793,38.15539205055855,3.451848381778416,0,9,2020-04-14,,synthetic_background,0.0059894442391623,0.0027206174013016,301.1046155717638,304.54896655612527,305.25168584187827,-6.856274204970589,-6.222169269652721,0.8446495519927959,0.6839099145103199,0.607973411297784,-0.160739637482476
1794,37.31198068672838,0.9512699714267592,0,9,2020-04-14,,synthetic_background,0.022315558774494,0.0148050120946763,296.07089161343043,297.8332330491808,298.99430736965604,-5.210683194710704,-4.797439371368772,0.9796168791177968,0.9260402395060078,0.8307258002317199,-0.053576639611789045
1795,38.09105215966316,3.918109407414296,0,9,2020-04-14,,synthetic_background,0.0113997429442633,0.0014882019636033,301.405255762736,304.87487258911125,305.222578854031,-4.704347582130126,-4.424404237663543,0.8609570095874126,1.0115915579757335,0.8177923445052986,0.1506345483883209
1796,38.724444444,4.55638888900006,1,10,2020-04-21,2020-04-25,fao_hopper,0.0021498471331824,0.0005564174529908,298.4532104068332,302.155552927653,303.1340317620172,-6.610484822144464,-6.157735805032049,0.7105391341126353,0.7165979789311048,0.5144730690170404,0.006058844818469522
1797,38.724444444,4.55611111100006,1,10,2020-04-21,2020-04-25,fao_hopper,0.0021498471331824,0.0005564174529908,298.4532104068332,302.155552927653,303.1340317620172,-3.366503760302584,-6.18453755305039,0.9481212675445774,1.2614505120400157,1.0041164543434182,0.3133292444954383
1798,38.138888889,4.88444444400005,1,10,2020-04-21,2020-04-26,fao_hopper,0.0200682252478827,0.0013740441676972,295.9191934797499,298.7314372592502,299.30367694430885,-10.551069722276903,-14.311946819330092,0.1221341822315503,0.3238104937021566,0.2807966056628367,0.20167631147060627
1799,38.7266666670001,4.55944444400006,1,10,2020-04-21,2020-04-26,fao_hopper,0.0021498471331824,0.0005564174529908,298.4532104068332,302.155552927653,303.1340317620172,-5.347987444550627,-4.876869282028723,0.8102989746733423,0.9037322247472322,0.78381859230672,0.09343325007388992
1800,37.582777778,0.348333333000028,1,10,2020-04-21,2020-04-23,fao_hopper,0.0162960707974662,0.0147476873275635,295.9540567609999,298.3615370856391,299.7595688713921,-7.457790538370544,-5.8112239456761925,0.7244250264130037,0.6089185057829264,0.949639262355076,-0.11550652063007727
1801,37.2308333330001,1.95861111100004,1,10,2020-04-21,2020-04-27,fao_band,0.0075038492512931,0.0036554119464753,301.3808254241943,306.33792054918075,307.40573315090603,-6.069254562880227,-6.768243974659653,0.7759435501936025,0.7935022790672074,0.6927314985943857,0.01755872887360488
