row_id,SMAP_Surface_T15,SMAP_Root_T15
110,0.41380560398101807,0.44770559668540955
111,0.6269261240959167,0.6696507930755615
112,0.41380560398101807,0.44770559668540955
113,0.46514636278152466,0.5471329092979431
114,0.4390314519405365,0.5764989256858826
115,0.3067321479320526,0.43910878896713257
116,0.30686795711517334,0.49768930673599243
117,0.29312029480934143,0.49187877774238586
118,0.41800281405448914,0.5374059081077576
119,0.2757318913936615,0.4763544797897339
120,0.24993029236793518,0.4318649470806122
121,0.38039547204971313,0.49212291836738586
122,0.381420373916626,0.5018478631973267
123,0.3605819344520569,0.48580577969551086
124,0.3605819344520569,0.48580577969551086
125,0.310884565114975,0.44806569814682007
126,0.3278294503688812,0.4944819211959839
127,0.2983454167842865,0.47996675968170166
128,0.3264561593532562,0.4938868284225464
129,0.31266170740127563,0.4875442683696747
130,0.438762366771698,0.4700159728527069
131,0.29044798016548157,0.4348607361316681
132,0.29044798016548157,0.4348607361316681
133,0.29044798016548157,0.4348607361316681
134,0.2990112006664276,0.400867223739624
135,0.39281970262527466,0.480212926864624
136,0.39281970262527466,0.480212926864624
137,0.3223429024219513,0.4084833860397339
138,0.3223429024219513,0.4084833860397339
139,0.3223429024219513,0.4084833860397339
140,0.31760454177856445,0.4504745602607727
141,0.3665176033973694,0.37930554151535034
142,0.3922734260559082,0.5095626711845398
143,0.39674070477485657,0.5103927850723267
144,0.3906351327896118,0.5082666873931885
145,0.3906351327896118,0.5082666873931885
146,0.3849487006664276,0.500110387802124
147,0.4216567873954773,0.5024968385696411
148,0.387492835521698,0.39474132657051086
149,0.387492835521698,0.39474132657051086
150,0.387492835521698,0.39474132657051086
151,0.35047248005867004,0.34571483731269836
152,0.44589993357658386,0.49054718017578125
153,0.3665176033973694,0.37930554151535034
154,0.3665176033973694,0.37930554151535034
155,0.387492835521698,0.39474132657051086
156,0.387492835521698,0.39474132657051086
157,0.3665176033973694,0.37930554151535034
158,0.35047248005867004,0.34571483731269836
159,0.3665176033973694,0.37930554151535034
160,0.3665176033973694,0.37930554151535034
161,0.386812299489975,0.5015345215797424
162,0.39674070477485657,0.5103927850723267
163,0.2918349802494049,0.4455459713935852
164,0.39674070477485657,0.5103927850723267
165,0.3915552496910095,0.5032628178596497
166,0.386812299489975,0.5015345215797424
167,0.3855000436306,0.49600881338119507
168,0.8601587414741516,0.8697280883789062
169,0.43602749705314636,0.5177993774414062
170,0.41380560398101807,0.44770559668540955
171,0.3915145695209503,0.43701833486557007
172,0.5669479370117188,0.6066787838935852
173,0.2973836064338684,0.3968805968761444
174,0.32650092244148254,0.46106112003326416
175,0.2071537971496582,0.20328420400619507
176,0.2071537971496582,0.20328420400619507
177,0.2071537971496582,0.20328420400619507
178,0.2152256965637207,0.2213440090417862
179,0.43602749705314636,0.5177993774414062
180,0.5522028207778931,0.6464879512786865
181,0.5522028207778931,0.6464879512786865
182,0.3089711368083954,0.3946029841899872
183,0.3086812198162079,0.4443720579147339
184,0.3915552496910095,0.5032628178596497
185,0.31831204891204834,0.452686071395874
186,0.41507717967033386,0.5263432860374451
187,0.3086812198162079,0.4443720579147339
188,0.3086812198162079,0.4443720579147339
189,0.31831204891204834,0.452686071395874
190,0.4917851388454437,0.5270329713821411
191,0.3922734260559082,0.5095626711845398
192,0.39674070477485657,0.5103927850723267
193,0.39469245076179504,0.43023020029067993
194,0.3915552496910095,0.5032628178596497
195,0.31831204891204834,0.452686071395874
196,0.37376758456230164,0.41719919443130493
197,0.4021143317222595,0.5143559575080872
198,0.3849487006664276,0.500110387802124
199,0.29044798016548157,0.4348607361316681
200,0.3336451053619385,0.5174382925033569
201,0.325716108083725,0.49623870849609375
202,0.2918349802494049,0.4455459713935852
203,0.3507537543773651,0.5019159913063049
204,0.3507537543773651,0.5019159913063049
205,0.33734482526779175,0.49303844571113586
206,0.33734482526779175,0.49303844571113586
207,0.35458728671073914,0.500164270401001
208,0.38182878494262695,0.4615819454193115
209,0.3507537543773651,0.5019159913063049
210,0.3158889412879944,0.45354971289634705
211,0.3158889412879944,0.45354971289634705
212,0.31592607498168945,0.48262685537338257
213,0.31073299050331116,0.4437708556652069
214,0.2990112006664276,0.400867223739624
215,0.2990112006664276,0.400867223739624
216,0.39281970262527466,0.480212926864624
217,0.29044798016548157,0.4348607361316681
218,0.29044798016548157,0.4348607361316681
219,0.29044798016548157,0.4348607361316681
220,0.29044798016548157,0.4348607361316681
221,0.451537549495697,0.4773809015750885
