row_id,Moisture_T30,Moisture_T15
247,-8.739820505742356,-9.438274745087288
248,-4.805373778198147,-6.1282973254916655
249,-5.289119545780364,-8.051871334807828
250,-4.172415394863884,-4.830304650504717
251,-8.823187387681253,-8.751090651272742
252,-8.197941742941463,-8.68638004093756
253,-6.748021599469357,
254,-4.720244548135103,-7.061408434035351
255,-5.728739953695239,-6.466719490111327
256,-8.187530649085472,-7.606472557644942
257,-8.321515190715882,-9.21650003099227
258,-6.973153705406506,-7.647662481255564
259,-5.679876622466475,-4.118304794461883
260,-4.426249680598532,-5.1071318752924295
261,-5.124404544809625,-4.570633816594459
262,-5.9794456021384566,-5.246417573319848
263,-5.679934154252481,
264,-5.940058827141519,-5.089306422374063
265,-9.607680499132918,-7.738830117380148
266,-4.04503504752558,-3.263588125419039
267,-5.446646899849738,-3.4415259348605485
268,-5.602368320587567,-5.846425117887339
269,-4.7983051287612035,-4.698662711545728
270,-5.225083568746484,-3.901890729364819
271,-4.770829530202677,-4.4923112955464255
272,-4.206949974425796,-2.2842327446650543
273,-4.670068681340009,-4.442366243609092
274,-5.339637364666572,-6.095303814001658
275,-6.108023875675357,-4.655929248031921
276,-5.348847161978294,-4.767522315492542
277,-6.427400461762106,-6.737561603775124
278,-5.940058827141519,-5.089306422374063
279,-5.82042876022215,
280,-5.248089574385973,-5.887208709308341
281,-7.561157097826909,-6.37725916429058
282,-5.970078832633571,-4.838849420076272
283,-5.343451046557833,-5.9636538491092
284,-4.741851346494942,-5.938016059095931
285,-4.770829530202677,-4.4923112955464255
286,-6.13126006643934,-4.976852621220697
287,-6.338085813428305,-6.461146159990667
288,-4.812148165470447,-6.719964643588174
289,-5.324502605585435,-5.431870184316049
290,-4.655794731117304,-3.7416412297277652
291,-4.670068681340009,-4.442366243609092
292,-6.198936902619854,-5.316911650298238
293,-7.08391109632085,-5.645475833675894
294,-4.711841660507548,-5.617159409417496
295,-6.31878382006654,-5.7526510397816715
296,-5.513444848413814,-5.091173223788459
297,-5.205431053543673,-5.865173938409756
298,-6.51652989807152,-5.171289622728379
299,-4.753041508702041,-3.7171241981845196
300,-5.7480979308335876,-6.263108846999732
301,-9.607680499132918,-7.738830117380148
302,-3.8774023621966562,-3.979788134381046
303,-4.835004464601221,-6.607045430699539
304,-5.378078376977049,-6.634624451613135
305,-5.807053291580518,-4.39284796857752
306,-8.047472528813085,-6.519100646137867
307,-4.335759154044486,-7.361585037169071
308,-6.365965767272526,-5.019197666529127
309,-4.671560141029777,-6.374895855534987
310,-5.770693541437043,-5.557985508851278
311,-6.120705339426236,-4.866730474530404
312,-5.751367980885193,-5.582182202571192
313,-6.040297153666564,-5.212476395317567
314,-6.871505055990614,-6.26218887483535
315,-6.3057860567694926,-4.86751194747605
316,-5.213149612311835,-6.2260226899514794
317,-6.913422506434268,-6.274373064361698
318,-5.959177817279771,-7.696255660132113
319,-6.15315220376713,-6.560405707642975
320,-5.789667395146198,-4.970411291488038
321,-5.558182413893983,-5.71184564447212
322,-4.963933045928561,-4.288943818848876
323,-5.183536350766271,-4.916945150230632
324,-5.867922472569263,-5.544766220975406
325,-5.228854742170555,-3.943979501385437
326,-4.81718935093446,-4.1432122780973994
327,-4.74799838655356,-4.93829546018412
328,-6.088371755748106,-5.556516056051102
329,-6.034795422069814,-5.439337183908023
330,-6.7145068658795095,-7.377360093977114
331,-6.848311683588047,-5.090453236585049
332,-4.5276025302731115,-6.431102591660071
333,-4.927723895324016,-4.727166181179722
334,-6.512982884884797,-4.861970882958941
335,-4.911434582116807,-5.672516772746879
336,-5.833299749192916,-5.370236285850332
337,-5.994752265641072,-5.277719868212319
338,-5.3981140771895255,-4.893320937868584
339,-4.930888461226371,-5.509940123309331
340,-6.034795422069814,-5.439337183908023
341,-5.532501988595132,-4.999079839607239
342,-5.234496046099932,-4.719956446254487
343,-6.848311683588047,-5.090453236585049
344,-6.884425016304377,
345,-6.736388363606706,-6.652678733837625
346,-5.927563295681354,-7.233270345308995
347,-6.613690871158608,-7.235276331097499
348,-5.811573938567239,-6.3037861898631995
349,-5.4038186136145745,-3.863574672890806
350,-7.902795224682655,-6.41070859699361
351,-11.849329872344732,-10.711753749346492
352,-4.8017089974588725,-4.418089752284418
353,-6.909463911451595,-7.9481974571592175
354,-4.65868722481436,-4.123965080612734
355,-5.915078914842017,-4.425550699750293
356,-5.981775024819217,-5.810372813450966
357,-5.365600039143763,-5.359096909975874
358,-5.827639446445363,-6.317621719851694
359,-5.101755133243888,-5.216728200790024
360,-6.871505055990614,-6.26218887483535
361,-8.925590578201742,-8.943105149314896
362,-4.661857026644673,-4.377550702313526
363,-5.997657405208196,-5.936491664339468
364,-5.199088866307022,-5.4896171276859675
365,-5.71585948592927,-5.307366035716068
366,-6.363700081828368,-5.548484166751754
367,-5.56657851234085,-5.723356611042318
368,-9.935596865528703,-8.085720297512566
369,-7.321730554945929,-7.698088362685465
370,-4.384297398635583,-6.249984195835129
371,-6.466535408481129,-6.484772705617681
372,-4.773111812142741,-7.443579003549155
373,-8.881820392870072,-6.64756056281529
374,-5.801090986162792,-4.673353281073394
375,-7.397934071309584,-7.240145740837379
376,-8.585741994323293,-6.9176802905740296
377,-5.2476895002317585,-4.875621184578346
378,-12.000391410690565,-11.794411584066513
379,-5.2890297510706725,-6.133231052193059
380,-4.812451748457283,-4.1232794014371885
381,-5.990317885306206,-4.279885073139482
382,-4.183782954637612,-7.104119642118979
383,-8.847365217473445,-8.01374571632088
