row_id,X,Y,Presence,Week,WeekStart,ObsDate,Source
205,38.25044527,1.686210428,0,3,03-03-2020,,synthetic_background
206,37.65238285,4.865351157,0,3,03-03-2020,,synthetic_background
207,37.86351942,2.611698199,0,3,03-03-2020,,synthetic_background
208,36.56109835,2.161802557,0,3,03-03-2020,,synthetic_background
209,36.86523784,3.526269722,0,3,03-03-2020,,synthetic_background
210,37.96614842,0.872644817,0,3,03-03-2020,,synthetic_background
211,36.29470336,3.320394499,0,3,03-03-2020,,synthetic_background
212,38.00659913,1.328663344,0,3,03-03-2020,,synthetic_background
213,38.23048241,3.229935,0,3,03-03-2020,,synthetic_background
214,36.24849765,4.551516451,0,3,03-03-2020,,synthetic_background
215,38.99668753,0.063556454,0,3,03-03-2020,,synthetic_background
216,38.85566139,0.389010893,0,3,03-03-2020,,synthetic_background
217,37.22070205,3.074244625,0,3,03-03-2020,,synthetic_background
218,36.92840959,4.007490199,0,3,03-03-2020,,synthetic_background
219,37.51828047,1.28615816,0,3,03-03-2020,,synthetic_background
220,36.22293084,2.524866195,0,3,03-03-2020,,synthetic_background
221,37.07723942,1.241034969,0,3,03-03-2020,,synthetic_background
222,36.91401125,4.252225594,0,3,03-03-2020,,synthetic_background
223,38.79470949,4.929405488,0,3,03-03-2020,,synthetic_background
224,38.69962155,0.853526683,0,3,03-03-2020,,synthetic_background
225,38.13578909,0.51466275,0,3,03-03-2020,,synthetic_background
226,38.10868167,1.207091215,0,3,03-03-2020,,synthetic_background
227,38.43254811,1.362576118,0,3,03-03-2020,,synthetic_background
228,37.94460696,1.771528417,0,3,03-03-2020,,synthetic_background
229,36.55264016,4.872561971,0,3,03-03-2020,,synthetic_background
230,38.42694718,3.036174301,0,3,03-03-2020,,synthetic_background
231,36.45120668,0.415580646,0,3,03-03-2020,,synthetic_background
232,37.94401572,2.772477923,0,3,03-03-2020,,synthetic_background
233,36.16167558,5.071535911,0,3,03-03-2020,,synthetic_background
234,38.1557373,4.332912379,0,3,03-03-2020,,synthetic_background
235,38.1961963,4.104683692,0,3,03-03-2020,,synthetic_background
236,36.8671663,0.844179942,0,3,03-03-2020,,synthetic_background
237,38.30863362,5.276244576,0,3,03-03-2020,,synthetic_background
238,38.57114567,2.927347585,0,3,03-03-2020,,synthetic_background
239,36.06427723,3.033987536,0,3,03-03-2020,,synthetic_background
240,36.91369233,0.367786465,0,3,03-03-2020,,synthetic_background
241,36.89294099,4.565935235,0,3,03-03-2020,,synthetic_background
242,37.49169379,4.164883314,0,3,03-03-2020,,synthetic_background
243,37.68064754,2.997655812,0,3,03-03-2020,,synthetic_background
244,37.34249451,0.458000963,0,3,03-03-2020,,synthetic_background
245,38.52840057,5.161011152,0,3,03-03-2020,,synthetic_background
246,36.95166667,5.339444444,1,4,10-03-2020,15-03-2020,fao_hopper
247,36.83416667,5.544166667,1,4,10-03-2020,10-03-2020,fao_hopper
248,36.835,5.544166667,1,4,10-03-2020,10-03-2020,fao_hopper
249,36.83972222,5.449444444,1,4,10-03-2020,10-03-2020,fao_hopper
250,36.83972222,5.443888889,1,4,10-03-2020,11-03-2020,fao_hopper
251,36.83416667,5.544166667,1,4,10-03-2020,11-03-2020,fao_hopper
252,36.83972222,5.449166667,1,4,10-03-2020,12-03-2020,fao_hopper
253,36.83583333,5.545,1,4,10-03-2020,12-03-2020,fao_hopper
254,36.9675,5.401111111,1,4,10-03-2020,15-03-2020,fao_band
255,36.85027778,5.471944444,1,4,10-03-2020,15-03-2020,fao_band
256,37.08222222,5.118055556,1,4,10-03-2020,10-03-2020,fao_band
257,36.85833333,4.983611111,1,4,10-03-2020,12-03-2020,fao_band
258,37.07444444,5.28,1,4,10-03-2020,12-03-2020,fao_band
259,37.12444444,5.207777778,1,4,10-03-2020,14-03-2020,fao_band
260,37.07444444,5.28,1,4,10-03-2020,15-03-2020,fao_band
261,37.12444444,5.207777778,1,4,10-03-2020,15-03-2020,fao_band
262,37.2,0.65,1,4,10-03-2020,10-03-2020,fao_band
263,37.78333333,1.583333333,1,4,10-03-2020,10-03-2020,fao_band
264,37.16666667,0.616666667,1,4,10-03-2020,14-03-2020,fao_band
265,36.86666667,0.4,1,4,10-03-2020,14-03-2020,fao_band
266,37.16666667,0.616666667,1,4,10-03-2020,15-03-2020,fao_band
267,37.71861111,0.128611111,1,4,10-03-2020,10-03-2020,fao_adult
268,38.215,5.015833333,1,4,10-03-2020,12-03-2020,fao_adult
269,38.17916667,4.793333333,1,4,10-03-2020,12-03-2020,fao_adult
270,38.24861111,4.998611111,1,4,10-03-2020,13-03-2020,fao_adult
271,38.29138889,4.985833333,1,4,10-03-2020,13-03-2020,fao_adult
272,38.21444444,5.011944444,1,4,10-03-2020,13-03-2020,fao_adult
273,38.17416667,4.863333333,1,4,10-03-2020,13-03-2020,fao_adult
274,38.19472222,4.725555556,1,4,10-03-2020,14-03-2020,fao_adult
275,38.2175,4.696111111,1,4,10-03-2020,14-03-2020,fao_adult
276,38.21055556,4.700277778,1,4,10-03-2020,14-03-2020,fao_adult
277,37.74888889,5.018333333,1,4,10-03-2020,16-03-2020,fao_adult
278,37.98305556,4.648888889,1,4,10-03-2020,10-03-2020,fao_adult
279,38.23416667,5.058611111,1,4,10-03-2020,12-03-2020,fao_adult
280,38.35444444,5.071944444,1,4,10-03-2020,12-03-2020,fao_adult
281,38.21388889,4.655833333,1,4,10-03-2020,14-03-2020,fao_adult
282,38.27333333,4.453611111,1,4,10-03-2020,15-03-2020,fao_adult
283,38.29444444,5.143888889,1,4,10-03-2020,10-03-2020,fao_adult
284,38.31583333,5.1475,1,4,10-03-2020,10-03-2020,fao_adult
285,38.38944444,5.089444444,1,4,10-03-2020,12-03-2020,fao_adult
286,38.42027778,5.0675,1,4,10-03-2020,12-03-2020,fao_adult
287,38.21111111,4.702222222,1,4,10-03-2020,14-03-2020,fao_swarm
288,38.21194444,4.661666667,1,4,10-03-2020,14-03-2020,fao_swarm
289,38.25972222,4.435277778,1,4,10-03-2020,15-03-2020,fao_swarm
290,38.18361111,4.445555556,1,4,10-03-2020,15-03-2020,fao_swarm
291,38.14305556,4.448333333,1,4,10-03-2020,15-03-2020,fao_swarm
292,38.05833333,4.465555556,1,4,10-03-2020,15-03-2020,fao_swarm
293,38.47416667,5.138611111,1,4,10-03-2020,10-03-2020,fao_swarm
294,38.31583333,5.149166667,1,4,10-03-2020,10-03-2020,fao_swarm
295,37.36666667,0.15,1,4,10-03-2020,11-03-2020,fao_swarm
296,36.03333333,1.95,1,4,10-03-2020,12-03-2020,fao_swarm
297,37.31666667,0.066666667,1,4,10-03-2020,12-03-2020,fao_swarm
298,37.33333333,0.066666667,1,4,10-03-2020,13-03-2020,fao_swarm
299,36.37432,5.01113,0,4,10-03-2020,11-03-2020,fao_no_locust
300,36.24217,5.07912,0,4,10-03-2020,11-03-2020,fao_no_locust
301,36.11185,5.14618,0,4,10-03-2020,11-03-2020,fao_no_locust
302,38.32585,4.36763,0,4,10-03-2020,11-03-2020,fao_no_locust
303,38.43882,4.38918,0,4,10-03-2020,11-03-2020,fao_no_locust
304,36.07715,5.21902,0,4,10-03-2020,11-03-2020,fao_no_locust
305,38.5549,4.45977,0,4,10-03-2020,11-03-2020,fao_no_locust
306,38.57085,4.42087,0,4,10-03-2020,11-03-2020,fao_no_locust
307,37.47752,5.08828,0,4,10-03-2020,11-03-2020,fao_no_locust
308,37.50683,5.10387,0,4,10-03-2020,11-03-2020,fao_no_locust
309,37.53242,5.12305,0,4,10-03-2020,11-03-2020,fao_no_locust
310,37.57262,5.12223,0,4,10-03-2020,11-03-2020,fao_no_locust
311,37.59825,5.1277,0,4,10-03-2020,11-03-2020,fao_no_locust
312,38.2149,5.02552,0,4,10-03-2020,12-03-2020,fao_no_locust
313,38.39335,5.06467,0,4,10-03-2020,12-03-2020,fao_no_locust
314,38.22598,4.9962,0,4,10-03-2020,13-03-2020,fao_no_locust
315,38.26125,5.09153,0,4,10-03-2020,13-03-2020,fao_no_locust
316,36.9855,0.62321,0,4,10-03-2020,13-03-2020,fao_no_locust
317,38.1942,4.72778,0,4,10-03-2020,14-03-2020,fao_no_locust
318,38.19603,4.79315,0,4,10-03-2020,14-03-2020,fao_no_locust
319,38.18628,4.84388,0,4,10-03-2020,14-03-2020,fao_no_locust
320,37.86487,4.97968,0,4,10-03-2020,16-03-2020,fao_no_locust
321,37.82533,4.98842,0,4,10-03-2020,16-03-2020,fao_no_locust
322,37.77723,5.00702,0,4,10-03-2020,16-03-2020,fao_no_locust
323,37.7514,4.98428,0,4,10-03-2020,16-03-2020,fao_no_locust
324,37.72092,4.95218,0,4,10-03-2020,16-03-2020,fao_no_locust
325,37.68385,4.93888,0,4,10-03-2020,16-03-2020,fao_no_locust
326,37.69027,5.08568,0,4,10-03-2020,16-03-2020,fao_no_locust
327,38.81783895,2.455930249,0,4,10-03-2020,,synthetic_background
328,37.04123401,2.455539278,0,4,10-03-2020,,synthetic_background
329,37.80750131,5.341846508,0,4,10-03-2020,,synthetic_background
330,38.62852417,1.091517516,0,4,10-03-2020,,synthetic_background
331,36.56634701,0.302782311,0,4,10-03-2020,,synthetic_background
332,37.45145206,4.395065535,0,4,10-03-2020,,synthetic_background
333,36.7209396,4.186361517,0,4,10-03-2020,,synthetic_background
334,37.73121164,2.381523509,0,4,10-03-2020,,synthetic_background
335,38.3786608,4.653073557,0,4,10-03-2020,,synthetic_background
336,37.78943074,0.69891665,0,4,10-03-2020,,synthetic_background
337,37.16747811,2.518517673,0,4,10-03-2020,,synthetic_background
338,36.5889382,2.327090808,0,4,10-03-2020,,synthetic_background
339,36.69448119,2.181218309,0,4,10-03-2020,,synthetic_background
340,36.95861628,1.510694969,0,4,10-03-2020,,synthetic_background
341,38.12512872,3.719159484,0,4,10-03-2020,,synthetic_background
342,36.37471593,0.262124596,0,4,10-03-2020,,synthetic_background
343,38.21321515,0.294830453,0,4,10-03-2020,,synthetic_background
344,36.38926784,4.744876547,0,4,10-03-2020,,synthetic_background
345,37.68321533,1.14255931,0,4,10-03-2020,,synthetic_background
346,38.19178397,4.986562395,0,4,10-03-2020,,synthetic_background
347,37.11423237,2.476948017,0,4,10-03-2020,,synthetic_background
348,36.93383522,4.160713601,0,4,10-03-2020,,synthetic_background
349,37.29718496,3.018753073,0,4,10-03-2020,,synthetic_background
350,37.73406342,2.192780058,0,4,10-03-2020,,synthetic_background
351,37.76339629,2.934722187,0,4,10-03-2020,,synthetic_background
352,37.19361111,0.943888889,1,5,17-03-2020,22-03-2020,fao_hopper
353,36.76027778,5.471388889,1,5,17-03-2020,18-03-2020,fao_hopper
354,36.83138889,5.452777778,1,5,17-03-2020,17-03-2020,fao_hopper
355,36.77194444,5.364444444,1,5,17-03-2020,17-03-2020,fao_hopper
356,36.77194444,5.359444444,1,5,17-03-2020,17-03-2020,fao_hopper
357,36.80611111,5.399166667,1,5,17-03-2020,18-03-2020,fao_hopper
358,37.15,1.25,1,5,17-03-2020,20-03-2020,fao_band
359,37.13333333,0.916666667,1,5,17-03-2020,22-03-2020,fao_band
360,37.16666667,0.916666667,1,5,17-03-2020,22-03-2020,fao_band
361,37.13333333,0.9,1,5,17-03-2020,22-03-2020,fao_band
362,37.31666667,0.966666667,1,5,17-03-2020,22-03-2020,fao_band
363,37,0.833333333,1,5,17-03-2020,22-03-2020,fao_band
364,37.21666667,0.933333333,1,5,17-03-2020,22-03-2020,fao_band
365,37.25,1.016666667,1,5,17-03-2020,22-03-2020,fao_band
366,37.18333333,0.933333333,1,5,17-03-2020,22-03-2020,fao_band
367,37.15027778,0.923611111,1,5,17-03-2020,20-03-2020,fao_band
368,37.265,0.947222222,1,5,17-03-2020,20-03-2020,fao_band
369,37.32722222,0.982222222,1,5,17-03-2020,21-03-2020,fao_band
370,37.25055556,1.021388889,1,5,17-03-2020,22-03-2020,fao_band
371,37.215,0.937777778,1,5,17-03-2020,20-03-2020,fao_band
372,37.00166667,5.355,1,5,17-03-2020,23-03-2020,fao_band
373,36.83027778,5.474444444,1,5,17-03-2020,23-03-2020,fao_band
374,38.21277778,4.875277778,1,5,17-03-2020,23-03-2020,fao_band
375,36.79611111,5.473055556,1,5,17-03-2020,23-03-2020,fao_band
376,36.98722222,5.318888889,1,5,17-03-2020,23-03-2020,fao_band
377,37.02138889,5.354166667,1,5,17-03-2020,23-03-2020,fao_band
378,36.74388889,5.505833333,1,5,17-03-2020,23-03-2020,fao_band
379,37.78972222,0.149166667,1,5,17-03-2020,23-03-2020,fao_band
380,37.23333333,0.583333333,1,5,17-03-2020,18-03-2020,fao_band
381,37.16666667,0.633333333,1,5,17-03-2020,18-03-2020,fao_band
382,37.36666667,0.7,1,5,17-03-2020,18-03-2020,fao_band
383,37.55,0.4,1,5,17-03-2020,18-03-2020,fao_band
384,37.26666667,1.766666667,1,5,17-03-2020,18-03-2020,fao_band
385,36.75,2.4,1,5,17-03-2020,18-03-2020,fao_band
386,36.00722222,3.05,1,5,17-03-2020,19-03-2020,fao_band
387,36.00277778,3.002777778,1,5,17-03-2020,19-03-2020,fao_band
