row_id,X,Y,ObsDate,Week,Presence,Source
178,36.7886111110001,5.93861111100006,2020-02-11,8,0,tgb_swarm
179,37.2308333330001,1.95861111100004,2020-04-27,8,0,tgb_band
180,38.2486111110001,4.99861111100006,2020-03-13,8,0,tgb_adult
181,37.1,1.88333333300005,2020-04-04,8,0,tgb_band
182,37.59346,3.14919,2020-06-05,8,0,tgb_no_locust
183,36.00446,3.23654,2021-02-23,8,0,tgb_no_locust
184,37.27483,4.55357,2021-11-27,8,0,tgb_no_locust
185,36.259166667,2.11666666700006,2020-04-28,8,0,tgb_swarm
186,36.96842,1.82799,2021-11-25,8,0,tgb_no_locust
187,37.831944444,0.34472222200003,2020-03-24,8,0,tgb_swarm
188,37.43337,5.55271,2021-05-10,8,0,tgb_no_locust
189,36.266666667,0.0,2020-03-04,8,0,tgb_swarm
190,37.145277778,1.03694444400003,2020-04-26,8,0,tgb_swarm
191,37.516666667,0.55,2020-01-29,8,0,tgb_swarm
192,37.30788,1.18243,2020-06-03,8,0,tgb_no_locust
193,37.066666667,3.31666666700005,2020-02-17,8,0,tgb_band
194,37.274444444,0.08694444400004,2020-03-24,8,0,tgb_adult
195,36.533333333,0.25,2020-03-30,8,0,tgb_swarm
196,36.48055,5.00589,2021-02-23,8,0,tgb_no_locust
197,37.4833333330001,0.083333333000041,2020-02-12,8,0,tgb_band
198,37.489348,4.674695,2022-07-13,8,0,tgb_no_locust
199,36.704166667,1.63027777800005,2020-05-04,8,0,tgb_swarm
200,37.454444444,1.83583333300004,2020-04-28,8,0,tgb_swarm
201,36.46364,5.22238,2021-05-14,8,0,tgb_no_locust
202,38.9283333330001,4.13777777800004,2020-02-24,8,0,tgb_hopper
203,38.97984,3.50399,2021-02-23,8,0,tgb_no_locust
204,37.95,5.4,2020-04-29,8,0,tgb_swarm
205,36.783333333,0.0,2020-03-31,9,0,tgb_swarm
206,37.566666667,0.616666667000061,2020-02-12,9,0,tgb_swarm
207,36.55,0.183333333000064,2020-03-30,9,0,tgb_swarm
208,37.1252777780001,1.64583333300004,2020-05-01,9,0,tgb_swarm
209,36.0072222220001,3.05,2020-03-19,9,0,tgb_band
210,37.84919,5.36324,2021-11-22,9,0,tgb_no_locust
211,36.030277778,1.95111111100005,2020-05-07,9,0,tgb_adult
212,37.4105555560001,3.08666666700003,2020-05-09,9,0,tgb_swarm
213,37.266666667,5.1,2020-04-26,9,0,tgb_swarm
214,36.78074,2.15172,2021-02-23,9,0,tgb_no_locust
215,36.8480555560001,3.435,2020-04-07,9,0,tgb_band
216,38.19542,0.5695,2020-12-18,9,0,tgb_no_locust
217,37.78829,4.86207,2021-11-25,9,0,tgb_no_locust
218,37.216666667,1.88333333300005,2020-02-25,9,0,tgb_band
219,37.07134,0.3565,2021-02-23,9,0,tgb_no_locust
220,38.4333333330001,5.21666666700003,2020-03-27,9,0,tgb_band
221,37.266666667,5.91666666700007,2020-05-01,9,0,tgb_swarm
222,36.76426,2.09456,2021-05-05,9,0,tgb_no_locust
223,38.85702,3.02703,2020-06-08,9,0,tgb_no_locust
224,37.6802777780001,4.47805555600007,2020-02-08,9,0,tgb_swarm
225,38.14874,0.49205,2020-12-18,9,0,tgb_no_locust
226,38.0672222220001,4.51361111100005,2020-03-20,9,0,tgb_swarm
227,36.82133,4.84053,2021-05-10,9,0,tgb_no_locust
228,37.59873,4.9087,2021-11-29,9,0,tgb_no_locust
229,36.04696,0.02431,2021-02-21,9,0,tgb_no_locust
230,36.7257,5.17337,2021-02-23,9,0,tgb_no_locust
231,36.3577777780001,0.03944444400003,2020-04-22,9,0,tgb_adult
232,36.25,0.28333333300003,2020-02-21,9,0,tgb_swarm
233,38.158611111,3.17666666700006,2020-01-16,9,0,tgb_swarm
234,37.6333333330001,0.666666667000072,2020-03-28,9,0,tgb_band
235,37.136111111,1.58333333300004,2020-05-02,9,0,tgb_swarm
236,36.63429,5.47283,2021-05-14,9,0,tgb_no_locust
237,38.57988,3.77978,2020-06-02,9,0,tgb_no_locust
238,36.11204,2.25064,2020-12-17,9,0,tgb_no_locust
239,38.40168,4.79651,2020-06-03,9,0,tgb_no_locust
240,37.41275,5.90723,2021-05-12,9,0,tgb_no_locust
241,36.6833333330001,1.63333333300005,2020-04-22,9,0,tgb_swarm
242,36.1013888890001,1.98222222200008,2020-05-05,9,0,tgb_adult
243,37.39781,5.52826,2021-05-14,9,0,tgb_no_locust
244,37.3833333330001,5.71666666700003,2020-04-21,9,0,tgb_swarm
245,37.266666667,1.41666666700007,2020-05-06,9,0,tgb_swarm
246,37.3730555560001,4.88777777800004,2020-01-31,9,0,tgb_swarm
247,37.702222222,4.41222222200003,2020-02-02,9,0,tgb_swarm
248,38.7469444440001,3.81416666700005,2020-01-22,9,0,tgb_swarm
249,38.50788,3.46429,2021-02-23,9,0,tgb_no_locust
250,37.145277778,1.03694444400003,2020-04-26,9,0,tgb_swarm
251,37.4377777780001,1.3475,2020-04-09,9,0,tgb_hopper
252,37.7333333330001,1.05,2020-02-07,9,0,tgb_swarm
253,37.2333333330001,0.8,2020-02-07,9,0,tgb_band
254,37.1,5.15,2020-04-17,9,0,tgb_band
255,37.01733,4.83402,2021-05-14,9,0,tgb_no_locust
256,37.15484,4.67678,2021-11-27,9,0,tgb_no_locust
257,36.19034,0.32996,2021-02-23,9,0,tgb_no_locust
258,36.48511,0.22068,2021-02-23,9,0,tgb_no_locust
259,36.91727,2.5309,2020-06-03,9,0,tgb_no_locust
260,37.333333333,0.06666666700005,2020-03-20,9,0,tgb_swarm
261,36.60883,5.09314,2021-05-14,9,0,tgb_no_locust
262,36.05447,0.3551,2021-02-23,9,0,tgb_no_locust
263,38.8488888890001,4.29972222200007,2020-02-04,9,0,tgb_swarm
264,36.8,0.6,2020-02-21,9,0,tgb_swarm
265,37.316666667,0.583333333000041,2020-02-06,9,0,tgb_band
266,38.1683333330001,4.21972222200003,2020-02-28,9,0,tgb_adult
267,37.30788,1.18243,2020-06-03,9,0,tgb_no_locust
268,37.1333333330001,0.583333333000041,2020-03-09,9,0,tgb_band
269,37.3833333330001,5.65,2020-04-13,9,0,tgb_swarm
270,37.086944444,1.0725,2020-04-24,9,0,tgb_swarm
271,36.1161111110001,2.01194444400005,2020-04-12,9,0,tgb_adult
272,36.204444444,2.77638888900003,2020-05-03,9,0,tgb_swarm
273,36.29311,0.45939,2021-02-23,9,0,tgb_no_locust
274,37.59346,3.14919,2020-06-05,9,0,tgb_no_locust
275,36.1833333330001,4.66666666700007,2020-03-29,9,0,tgb_band
276,37.41918,5.36944,2021-05-12,9,0,tgb_no_locust
277,38.566666667,0.916666667000072,2020-01-30,9,0,tgb_swarm
278,37.066666667,3.31666666700005,2020-02-17,9,0,tgb_band
279,38.97577,1.30657,2021-02-27,9,0,tgb_no_locust
280,36.771944444,5.36444444400007,2020-03-17,9,0,tgb_hopper
281,38.7891666670001,5.47416666700002,2020-03-01,9,0,tgb_swarm
282,37.3105555560001,1.74083333300007,2020-01-15,9,0,tgb_swarm
283,36.0083333330001,3.11666666700006,2020-03-19,9,0,tgb_band
284,37.4866666670001,0.354722222000021,2020-03-25,9,0,tgb_band
285,36.5,5.1,2020-05-01,9,0,tgb_swarm
286,36.9166666670001,0.983333333000076,2020-04-11,9,0,tgb_swarm
287,37.390277778,5.8025,2020-02-08,9,0,tgb_swarm
288,38.259815,5.523133,2020-03-21,9,0,tgb_no_locust
289,37.75,5.7,2020-04-21,9,0,tgb_swarm
290,36.46974,0.52048,2021-05-11,9,0,tgb_no_locust
291,37.75,0.25,2020-02-20,9,0,tgb_swarm
292,38.4897222220001,4.41555555600007,2020-05-06,9,0,tgb_hopper
293,36.46364,5.22238,2021-05-14,9,0,tgb_no_locust
294,37.689675,4.65612,2022-07-13,9,0,tgb_no_locust
295,37.25,0.633333333000053,2020-02-15,9,0,tgb_band
296,36.100833333,5.30083333300007,2020-03-25,9,0,tgb_band
297,38.2175,4.69611111100005,2020-03-14,9,0,tgb_adult
298,38.094722222,2.70055555600004,2020-01-15,9,0,tgb_swarm
299,38.190555556,4.435,2020-03-05,9,0,tgb_adult
300,37.333333333,3.68333333300006,2020-04-27,9,0,tgb_swarm
301,37.9166666670001,1.06666666700005,2020-02-06,9,0,tgb_swarm
302,36.24014,2.51534,2021-08-06,9,0,tgb_no_locust
303,37.49501,4.91195,2021-02-23,9,0,tgb_no_locust
304,37.98331,0.26454,2021-05-09,9,0,tgb_no_locust
305,37.783333333,0.683333333000064,2020-01-26,9,0,tgb_swarm
306,37.53124,3.80226,2020-06-02,9,0,tgb_no_locust
307,37.3522222220001,1.31583333300006,2020-05-01,9,0,tgb_adult
308,36.53911,5.28075,2021-05-14,9,0,tgb_no_locust
309,36.56467,0.08966,2021-02-23,9,0,tgb_no_locust
310,36.51889,5.15405,2021-05-14,9,0,tgb_no_locust
311,38.102,2.67874,2021-02-21,9,0,tgb_no_locust
312,38.32585,4.36763,2020-03-11,9,0,tgb_no_locust
313,37.1,5.31666666700005,2020-03-29,9,0,tgb_band
314,36.6666666670001,0.266666667000038,2020-03-08,9,0,tgb_swarm
315,37.28546,4.77109,2021-05-10,9,0,tgb_no_locust
316,37.1,1.25,2020-04-20,9,0,tgb_hopper
317,37.1936111110001,0.94388888900005,2020-03-22,9,0,tgb_hopper
318,37.089722222,1.50416666700005,2020-04-27,9,0,tgb_adult
319,36.20875,1.83032,2020-06-05,9,0,tgb_no_locust
320,37.716666667,0.383333333000053,2020-01-13,9,0,tgb_swarm
321,36.9,0.75,2020-02-17,9,0,tgb_swarm
322,37.9963888890001,4.39111111100004,2020-03-19,9,0,tgb_swarm
323,37.136111111,1.58333333300004,2020-05-02,10,0,tgb_swarm
324,37.4833333330001,0.083333333000041,2020-02-12,10,0,tgb_band
325,38.09135,2.69099,2020-12-10,10,0,tgb_no_locust
326,38.10061,5.10293,2021-11-26,10,0,tgb_no_locust
327,36.0,5.6,2020-03-28,10,0,tgb_band
