row_id,Moisture_T30,Moisture_T15
119,-5.053412626,-3.837141045
120,-8.528765654,-7.760164491
121,-5.523040866,-6.543166122
122,-6.963663851,-5.727522076
123,-5.046343062,-5.256516142
124,-8.528765654,-7.760164491
125,-4.62201359,-4.9427027
126,-5.268684097,-4.484245997
127,-5.928996557,-6.084441975
128,-5.9655228,-4.352754375
129,-1.96214837,-2.555609393
130,-4.3057581,-5.380705153
131,-5.903649391,-5.877975026
132,-4.67752755,-3.232290452
133,-6.283058887,-5.283740533
134,-5.142553,-6.993235516
135,-5.182803891,-6.202797404
136,-5.704432824,-6.132207639
137,-4.449629905,-4.276562221
138,-6.733727437,-5.733490428
139,-4.160982733,-4.226212481
140,-6.23899025,-7.273340178
141,-5.851514912,-6.7533417
142,-3.49831142,-6.034754165
143,-8.299106965,-9.358913591
144,-5.168126144,-4.903133509
145,-6.448424524,-7.092254793
146,-6.007715394,-5.055540876
147,-5.692111778,-4.81400301
148,-9.439093892,-9.227650089
149,-6.020946242,-7.236878074
150,-6.614187425,-8.279287946
151,-5.668485534,-5.417897039
152,-5.818039183,-5.368261741
153,-6.448373321,-8.830448314
154,-4.799632567,-5.962523323
155,-6.853296393,-5.740583079
156,-5.541979709,-5.727702595
157,-5.583217137,-4.788857125
158,-5.410990349,-5.936338293
159,-5.955794442,-5.605856965
160,-7.15085929,-6.463722124
161,-7.018764323,-8.784002912
162,-5.222079727,-6.120092372
163,-4.949230361,-4.69266087
164,-9.209417784,-9.208375806
165,-4.972547723,
166,-5.11285831,-6.094017496
167,-4.922954423,-5.588212544
168,-6.182493228,-6.603140739
169,-13.68102102,-11.15132591
170,-7.431689118,-9.501759146
171,-9.163513957,-8.140734593
172,-4.072897554,-5.083661527
173,-6.568969122,-7.042853769
174,-5.724722045,-7.448722509
175,-5.020010926,-4.975026495
176,-5.405146452,-5.74092205
177,-5.59294817,-6.464947352
178,-8.336249129,-4.975994407
179,-4.871314086,-6.60800846
180,-7.282383732,-6.121862331
181,-4.680449537,-5.171236713
182,-4.895696228,-4.073118945
183,-6.697500674,-4.372731561
184,-5.507016065,-5.362655381
185,-4.528939673,-7.701124313
186,-5.423780894,-7.412279578
187,-4.360061738,-4.417289642
188,-4.37720051,-4.812032597
189,-6.69071592,-6.008334796
190,-6.124780026,-6.120642142
191,-4.986026892,-6.353187512
192,-6.060410379,-6.229011712
193,-4.970275944,-4.122580305
194,-4.533634382,-5.589922604
195,-4.192783649,-5.613857102
196,-7.625777947,-6.630814951
197,-7.111331026,-6.959120985
198,-6.04404088,-6.602736323
199,-4.553689843,-4.818973627
200,-8.202801448,-8.293012655
201,-7.053581681,-6.568760899
202,-5.914702959,-6.239429437
203,-9.097313853,-8.777113352
204,-5.490190613,-4.831981541
205,-5.633610537,-5.636852162
206,-5.465679477,-5.068637807
207,-5.380322683,-7.129958062
208,-5.54742668,-7.970845435
209,-5.384369529,-6.346557745
210,-6.293319491,-5.258819322
211,-5.536701093,-5.905667344
212,-6.177950287,-6.507783173
213,-4.215214519,-5.51583721
214,-6.728373193,-7.459812118
215,-6.005013553,-4.978099383
216,-5.461671586,-4.18944906
217,-6.281462371,-7.264751004
218,-5.733543394,-4.762133281
219,-5.589638719,-5.484746332
220,-6.040096363,-6.597631541
221,-7.346591425,-7.174960479
222,-7.607547039,-4.978870859
223,-4.928288916,-6.506158253
224,-5.64642982,-4.815155467
225,-5.616192316,-7.041492876
226,-6.071836155,-6.219275881
227,-5.411469111,-6.305754877
228,-5.202449871,-5.436102633
229,-5.216507338,-4.597441353
230,-5.808224916,-5.556966695
231,-6.168477538,-6.357943681
232,-6.399649834,-6.722259195
233,-7.77401576,-6.738670615
234,-6.393330278,-5.536191192
235,-5.30531868,-7.007523261
236,-4.794665705,-4.49727681
237,-4.854597759,-6.545417409
238,-7.811041076,-6.629175128
239,-7.677727233,-8.026210702
240,-5.02388433,-4.855971077
241,-5.714437726,-4.47334077
242,-5.490190613,-4.831981541
243,-5.02230672,-4.973387297
244,-5.749994704,-6.309458711
245,-5.526240647,-5.797733925
246,-4.60790009,-4.480617609
247,-4.641944634,-6.083802578
248,-4.533768357,-5.398331994
249,-5.040213702,-5.516614484
250,-4.480754581,-4.47310042
251,-3.715779377,-3.635742237
252,-5.718791992,-4.949640275
253,-3.94927878,-5.491386306
254,-3.715779377,-3.635742237
255,-3.94927878,-5.491386306
256,-4.712535052,-4.862064467
257,-5.046343062,-5.256516142
