row_id,X,Y,Presence,Week,WeekStart,ObsDate,Source,Precip_T45,Precip,Temp,SoilTemp_T30,SoilTemp_T15,Moisture_T30,Moisture_T15,RVI_T45,RVI_T30,RVI_T0,RVI_Phenology_Delta
288,38.0672222220001,4.51361111100005,1,5,2020-03-17,2020-03-20,fao_swarm,0.001305178,0.02373895,296.2230036,298.912072,299.9703058,-4.989297175,-4.461701185,1.0593351147986552,0.9628127798714424,1.2002444697655597,-0.09652233492721274
289,38.089444444,4.88555555600004,1,5,2020-03-17,2020-03-20,fao_swarm,0.002003104,0.026532858,293.4209691,295.522863,296.2613539,-4.927335278,-7.866810478,0.6444124583598212,0.9732815593875336,0.716884508178958,0.3288691010277124
290,38.210277778,4.45972222200004,1,5,2020-03-17,2020-03-19,fao_swarm,0.001294717,0.014805882,295.1998862,297.8268561,299.0178047,-6.130873823,-5.64342267,0.8321110159441243,0.7838731481301949,0.9948350948960548,-0.04823786781392936
291,38.19295,4.744566,0,5,2020-03-17,2020-03-19,fao_no_locust,0.001140878,0.015082701,294.731988,297.8601081,299.0348999,-8.808057078,-9.808595192,0.4078296376297466,0.4651237413074361,0.3152039602148249,0.0572941036776895
292,38.282482,4.33015,0,5,2020-03-17,2020-03-20,fao_no_locust,0.001532003,0.011475622,295.6574329,298.6488288,300.0385892,-4.63198988,-4.474601994,0.8626394679036257,1.024235054401375,0.945882058663848,0.1615955864977493
293,38.153282,4.37935,0,5,2020-03-17,2020-03-20,fao_no_locust,0.001524463,0.015304147,295.5180069,298.4016011,299.7734199,-5.599385136,-5.988698357,0.8936940045444348,0.8638811524260523,1.2087393039920395,-0.02981285211838247
294,38.169968,4.868683,0,5,2020-03-17,2020-03-20,fao_no_locust,0.001477286,0.016412153,294.1324654,297.0915913,298.1058255,-5.60165762,-5.362873582,0.8244002307884373,0.8635267973902055,0.8615305029841331,0.039126566601768276
295,38.295166,5.243733,0,5,2020-03-17,2020-03-20,fao_no_locust,0.000464663,0.003066748,294.9314454,296.7027513,297.0837281,-5.465828196,-5.923149564,0.9186745029676956,0.8848920313588752,0.8031417871594415,-0.03378247160882042
296,38.29418,5.218517,0,5,2020-03-17,2020-03-20,fao_no_locust,0.000464663,0.003066748,294.9314454,296.7027513,297.0837281,-6.384764826,-6.951547801,0.8721443430310678,0.7476814326987329,1.0305077559988365,-0.12446291033233492
297,38.33082,5.303367,0,5,2020-03-17,2020-03-21,fao_no_locust,0.000840798,0.002568125,295.0194771,297.1279086,297.3638659,-7.117383813,-7.285911837,0.7643658952961869,0.6504928507186045,0.8080607411178378,-0.1138730445775824
